KOI_Name,Kepler_ID,Confirmed_Name,NASA_Disposition,Pipeline_Disposition,KOI_Score,Period_days,Depth_ppm,SNR,Duration_hrs,Planet_Radius_Rearth,FP_Flag_NT,FP_Flag_SS,FP_Flag_CO,FP_Flag_EC,Rejection_Reason
K03055.01,7281454,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.566805887,1.7,0.8,5.2317,0.08,1,0,0,1,Not Transit-Like (NT); Ephemeris Match (EC)
K04533.01,3330684,None,FALSE POSITIVE,FALSE POSITIVE,0.001,1.26132769,109.7,9.9,1.244,0.14,0,0,1,0,Centroid Offset (CO)
K08003.01,10340212,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.93374894,226.2,9.3,4.637,0.18,1,0,1,1,Not Transit-Like (NT); Centroid Offset (CO); Ephemeris Match (EC)
K06591.01,5513833,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.755101141,76.7,13.4,3.371,0.19,1,0,1,1,Not Transit-Like (NT); Centroid Offset (CO); Ephemeris Match (EC)
K02826.01,8227661,None,FALSE POSITIVE,FALSE POSITIVE,0.0,1.85373924,348.6,18.0,1.816,0.23,0,1,1,0,Stellar Eclipse (SS); Centroid Offset (CO)
K06812.01,7032968,None,FALSE POSITIVE,FALSE POSITIVE,,0.56678702,7.5,11.2,3.074,0.27,0,0,0,1,Ephemeris Match (EC)
K07952.01,9643210,None,FALSE POSITIVE,FALSE POSITIVE,0.038,3.850304552,158.0,5.3,1.5337,0.28,1,0,0,0,Not Transit-Like (NT)
K06517.01,5094301,None,FALSE POSITIVE,FALSE POSITIVE,,0.99519559,13.7,7.4,2.293,0.29,0,1,0,0,Stellar Eclipse (SS)
K02867.02,9899181,None,FALSE POSITIVE,FALSE POSITIVE,0.0,18.936061,24.3,14.0,22.27,0.34,0,1,0,0,Stellar Eclipse (SS)
K04594.01,5696918,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.643007769,68.1,10.3,0.69,0.35,0,1,1,1,Stellar Eclipse (SS); Centroid Offset (CO); Ephemeris Match (EC)
K06804.01,7031132,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.566795196,14.8,13.1,2.18,0.35,1,0,0,1,Not Transit-Like (NT); Ephemeris Match (EC)
K06766.01,6774408,None,FALSE POSITIVE,FALSE POSITIVE,,0.85450941,13.7,9.0,3.723,0.35,0,1,0,0,Stellar Eclipse (SS)
K07610.01,10341777,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.933746709,18.6,14.3,3.435,0.36,0,0,1,1,Centroid Offset (CO); Ephemeris Match (EC)
K07323.01,10407464,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.93373711,12.9,11.2,3.151,0.37,0,0,0,1,Ephemeris Match (EC)
K07338.01,10535858,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.93370968,62.2,9.2,3.356,0.38,1,0,1,1,Not Transit-Like (NT); Centroid Offset (CO); Ephemeris Match (EC)
K04851.01,4851239,None,FALSE POSITIVE,FALSE POSITIVE,0.0,1.23512429,15.2,15.7,4.22,0.38,0,0,1,1,Centroid Offset (CO); Ephemeris Match (EC)
K08027.01,10614845,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.573762943,48.3,8.5,2.196,0.39,1,0,0,0,Not Transit-Like (NT)
K08021.01,10535886,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.93376021,56.5,9.5,3.182,0.4,0,0,0,1,Ephemeris Match (EC)
K02867.01,9899181,None,FALSE POSITIVE,FALSE POSITIVE,0.0,1.332560553,31.7,26.1,3.315,0.4,0,0,1,1,Centroid Offset (CO); Ephemeris Match (EC)
K06864.01,7362534,None,FALSE POSITIVE,FALSE POSITIVE,,0.566789763,25.4,15.4,4.008,0.4,0,0,0,1,Ephemeris Match (EC)
K00959.01,10002261,None,FALSE POSITIVE,FALSE POSITIVE,0.729,12.71379418,36718.7,2981.3,2.44093,2.31,0,1,0,0,Stellar Eclipse (SS)
K06982.01,8162376,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.706430188,50.8,11.0,1.301,0.41,0,0,1,1,Centroid Offset (CO); Ephemeris Match (EC)
K08022.01,10535897,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.93372008,17.0,7.9,2.591,0.41,0,0,0,1,Ephemeris Match (EC)
K07876.01,8245108,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.579108481,68.4,9.3,1.659,0.42,1,0,1,1,Not Transit-Like (NT); Centroid Offset (CO); Ephemeris Match (EC)
K07831.01,7282168,None,FALSE POSITIVE,FALSE POSITIVE,0.0,0.56681727,35.9,9.1,1.779,0.42,0,0,1,1,Centroid Offset (CO); Ephemeris Match (EC)
